date,region,population,google_ads_brand_impressions,google_ads_generic_impressions,display_impressions,facebook_impressions,google_ads_brand_cost,google_ads_generic_cost,facebook_cost,display_cost,conversions,GQV_brand,GQV_generic,revenue_per_conversion
2023-06-19,Kalmar County,246352,62,0,0,0,23.41,0.0,0.0,0.0,0,0.000359804677460807,3.9837573888460551,1000
2024-07-15,Kalmar County,246352,19,39,0,0,17.67,107.28,0.0,0.0,0,0.00010280133641737343,4.1704960164482134,1000
2023-08-21,Kalmar County,246352,62,0,8,0,44.29,0.0,0.0,0.35,0,0.000359804677460807,3.8655872526342843,1000
2023-06-26,Kalmar County,246352,71,0,1,0,86.0,0.0,0.0,0.04,0,0.00041120534566949372,4.4525314829092775,1000
2024-12-23,Kalmar County,246352,23,78,0,578,4.84,776.94,53.08,0.0,0,0.00025700334104343357,2.4683114880493449,1000
2025-02-17,Kalmar County,246352,21,38,0,30,7.5,96.03,0.71,0.0,0,0.00025700334104343357,2.4178360318684144,1000
2023-03-06,Kalmar County,246352,60,0,0,370,15.53,0.0,38.1,0.0,0,0.00015420200462606013,3.6914931894114624,1000
2023-07-03,Kalmar County,246352,98,0,0,0,159.03,0.0,0.0,0.0,0,0.00097661269596504749,5.0959650475456177,1000
2023-06-05,Kalmar County,246352,57,0,0,166,87.72,0.0,15.15,0.0,0,0.00041120534566949372,3.8851195065535853,1000
2023-05-08,Kalmar County,246352,51,0,0,207,33.0,0.0,28.92,0.0,0,0.00041120534566949372,3.6791056283731689,1000
2023-03-13,Kalmar County,246352,55,0,0,252,27.32,0.0,22.67,0.0,0,0.00051400668208686714,3.48923156001028,1000
2024-05-06,Kalmar County,246352,29,0,0,0,36.56,0.0,0.0,0.0,0,0.00010280133641737343,3.7397584168594191,1000
2024-07-22,Kalmar County,246352,29,38,0,0,19.58,196.48,0.0,0.0,0,0.00015420200462606013,3.9843741968645592,1000
2024-06-17,Kalmar County,246352,14,80,0,141,16.86,302.81,11.71,0.0,0,0.0,3.0714983294782834,1000
2023-11-20,Kalmar County,246352,35,121,0,0,26.26,54.06,0.0,0.0,0,0.00025700334104343357,3.1249550244153173,1000
2024-04-15,Kalmar County,246352,19,0,0,0,20.03,0.0,0.0,0.0,0,0.00020560267283474686,3.3626317142122848,1000
2023-11-20,Norrbotten County,248620,20,55,0,0,8.62,1.67,0.0,0.0,0,0.00025700334104343357,3.82857877152403,1000
2023-12-25,Norrbotten County,248620,22,7,0,0,6.26,11.46,0.0,0.0,0,5.1400668208686716e-05,3.8900539707016191,1000
2023-03-27,Norrbotten County,248620,23,0,0,197,3.08,0.0,12.66,0.0,0,0.00020560267283474686,3.95733744538679,1000
2024-09-30,Norrbotten County,248620,15,94,0,86,3.95,146.62,14.3,0.0,0,0.00020560267283474686,3.4363916730917503,1000
2023-09-25,Norrbotten County,248620,43,0,0,0,15.75,0.0,0.0,0.0,0,0.00041120534566949372,4.19295810845541,1000
2023-06-05,Norrbotten County,248620,13,0,0,90,1.22,0.0,7.48,0.0,0,0.00025700334104343357,4.1876638396299155,1000
2024-12-23,Norrbotten County,248620,7,50,0,535,0.61,158.73,50.91,0.0,0,5.1400668208686716e-05,3.099614494988435,1000
2023-04-10,Norrbotten County,248620,23,0,0,241,42.27,0.0,15.78,0.0,0,0.00015420200462606013,4.1730660498586483,1000
2023-07-24,Norrbotten County,248620,28,0,7,0,15.38,0.0,0.0,1.2,0,0.00020560267283474686,5.6283217681829862,1000
2024-08-19,Norrbotten County,248620,15,49,0,47,13.09,323.2,8.36,0.0,0,0.00015420200462606013,4.0652274479568238,1000
2023-10-02,Norrbotten County,248620,8,0,0,0,6.01,0.0,0.0,0.0,0,0.00015420200462606013,3.8569005397070164,1000
2023-05-15,Norrbotten County,248620,23,1,0,99,56.23,0.07,6.96,0.0,0,0.00010280133641737343,4.4510922641994348,1000
